city,variable,n_outliers,method,before_min,before_max,after_min,after_max,lower_limit,upper_limit
Bafoussam,temperature,0,none,15.562,26.451,15.562,26.451,12.839500000000001,28.1695
Bafoussam,humidity,545,interpolated,68.19,99.352,75.815,98.166,75.81326,98.166
Bafoussam,irradiance,0,none,76.044,1012.5,76.044,1012.5,0.0,1225.0
Bafoussam,potential,0,none,0.38954,5.1866,0.38954,5.1866,0.0,6.2752
Bafoussam,wind_speed,137,capped,0.0068881,2.5428,0.0068881,1.858157000000003,0.0,1.858157000000003
Bambili,temperature,0,none,13.843,24.4,13.843,24.4,12.142874999999998,25.281374999999997
Bambili,humidity,545,interpolated,64.5,99.626,72.251,98.88,72.24925999999999,98.88
Bambili,irradiance,0,none,83.482,1008.3,83.482,1008.3,0.0,1287.5099999999998
Bambili,potential,0,none,0.42764,5.1652,0.42764,5.1652,0.0,6.5953
Bambili,wind_speed,137,capped,0.0024735,1.8007,0.0024735,1.3032025000000018,0.0,1.3032025000000018
Bamenda,temperature,0,none,13.305,23.674,13.305,23.674,11.903500000000003,24.389499999999998
Bamenda,humidity,544,interpolated,64.699,99.961,72.861,99.409,72.861,99.40987
Bamenda,irradiance,0,none,75.176,1016.7,75.176,1016.7,0.0,1287.4900000000002
Bamenda,potential,0,none,0.38509,5.2079,0.38509,5.2079,0.0,6.595199999999999
Bamenda,wind_speed,137,capped,0.0045987,1.6123,0.0045987,1.2528805000000003,0.0,1.2528805000000003
Yaounde,temperature,1,interpolated,18.71,27.508,18.71,27.336,18.120999999999995,27.337000000000003
Yaounde,humidity,546,interpolated,77.145,99.903,88.554,98.745,88.54182,98.74587
Yaounde,irradiance,0,none,98.269,904.17,98.269,904.17,50.00999999999988,924.9900000000001
Yaounde,potential,0,none,0.50339,4.6316,0.50339,4.6316,0.2558999999999996,4.7385
Yaounde,wind_speed,137,capped,0.0030651,3.3081,0.0030651,2.6722870000000003,0.0,2.6722870000000003
